0,0,1,1
0,1,0,1
1,0,0,1
0,1,1,1
1,1,0,1
0,1,2,1
0,2,1,1
1,1,1,1
0,2,2,1
1,1,2,1
1,2,1,1
0,2,3,1
0,3,2,1
1,2,2,2
2,2,1,1
0,3,3,1
1,2,3,1
1,3,2,2
2,2,2,1
0,3,4,1
0,4,3,1
1,3,3,3
1,4,2,1
2,2,3,1
2,3,2,2
0,4,4,1
1,3,4,2
1,4,3,3
2,3,3,3
2,4,2,1
3,3,2,1
0,4,5,1
0,5,4,1
1,4,4,5
1,5,3,1
2,3,4,2
2,4,3,5
3,3,3,1
3,4,2,1
0,5,5,1
1,4,5,3
1,5,4,5
2,4,4,7
2,5,3,3
3,3,4,1
3,4,3,3
0,5,6,1
0,6,5,1
1,4,6,1
1,5,5,7
1,6,4,2
2,4,5,5
2,5,4,11
2,6,3,1
3,4,4,5
3,5,3,3
4,4,3,1
0,6,6,1
1,5,6,5
1,6,5,7
2,4,6,1
2,5,5,15
2,6,4,7
3,4,5,3
3,5,4,11
3,6,3,1
4,4,4,1
4,5,3,1
0,6,7,1
0,7,6,1
1,5,7,1
1,6,6,11
1,7,5,3
2,5,6,11
2,6,5,22
2,7,4,2
3,4,6,1
3,5,5,15
3,6,4,11
4,4,5,1
4,5,4,5
4,6,3,1
0,7,7,1
1,6,7,7
1,7,6,11
2,5,7,3
2,6,6,30
2,7,5,15
3,5,6,11
3,6,5,30
3,7,4,5
4,5,5,7
4,6,4,7
5,5,4,1
0,7,8,1
0,8,7,1
1,6,8,2
1,7,7,15
1,8,6,5
2,6,7,22
2,7,6,42
2,8,5,5
3,5,7,3
3,6,6,42
3,7,5,30
3,8,4,1
4,5,6,5
4,6,5,22
4,7,4,5
5,5,5,1
5,6,4,2
0,8,8,1
1,7,8,11
1,8,7,15
1,9,6,1
2,6,8,7
2,7,7,56
2,8,6,30
3,6,7,30
3,7,6,77
3,8,5,15
4,5,7,1
4,6,6,30
4,7,5,30
4,8,4,1
5,5,6,1
5,6,5,7
5,7,4,2
0,8,9,1
0,9,8,1
1,7,9,3
1,8,8,22
1,9,7,7
2,6,9,1
2,7,8,42
2,8,7,77
2,9,6,11
3,6,8,11
3,7,7,101
3,8,6,77
3,9,5,3
4,6,7,22
4,7,6,77
4,8,5,22
5,6,6,11
5,7,5,15
5,8,4,1
6,6,5,1
0,9,9,1
1,8,9,15
1,9,8,22
1,10,7,1
2,7,9,15
2,8,8,101
2,9,7,56
2,10,6,1
3,6,9,1
3,7,8,77
3,8,7,176
3,9,6,42
4,6,8,7
4,7,7,101
4,8,6,101
4,9,5,7
5,6,7,7
5,7,6,42
5,8,5,15
6,6,6,1
6,7,5,3
0,9,10,1
0,10,9,1
1,8,10,5
1,9,9,30
1,10,8,11
2,7,10,2
2,8,9,77
2,9,8,135
2,10,7,22
3,7,9,30
3,8,8,231
3,9,7,176
3,10,6,11
4,6,9,1
4,7,8,77
4,8,7,231
4,9,6,77
4,10,5,1
5,6,8,2
5,7,7,56
5,8,6,77
5,9,5,7
6,6,7,1
6,7,6,11
6,8,5,5
0,10,10,1
1,9,10,22
1,10,9,30
1,11,8,2
2,8,10,30
2,9,9,176
2,10,8,101
2,11,7,3
3,7,10,5
3,8,9,176
3,9,8,385
3,10,7,101
3,11,6,1
4,7,9,30
4,8,8,297
4,9,7,297
4,10,6,30
5,7,8,42
5,8,7,176
5,9,6,77
5,10,5,1
6,7,7,15
6,8,6,30
6,9,5,3
7,7,6,1
0,10,11,1
0,11,10,1
1,9,11,7
1,10,10,42
1,11,9,15
2,8,11,5
2,9,10,135
2,10,9,231
2,11,8,42
3,8,10,77
3,9,9,490
3,10,8,385
3,11,7,30
4,7,10,5
4,8,9,231
4,9,8,627
4,10,7,231
4,11,6,5
5,7,9,15
5,8,8,231
5,9,7,297
5,10,6,42
6,7,8,11
6,8,7,77
6,9,6,42
6,10,5,1
7,7,7,1
7,8,6,5
0,11,11,1
1,9,12,1
1,10,11,30
1,11,10,42
1,12,9,3
2,9,11,56
2,10,10,297
2,11,9,176
2,12,8,7
3,8,11,15
3,9,10,385
3,10,9,792
3,11,8,231
3,12,7,3
4,8,10,101
4,9,9,792
4,10,8,792
4,11,7,101
5,7,10,2
5,8,9,176
5,9,8,627
5,10,7,297
5,11,6,11
6,7,9,3
6,8,8,101
6,9,7,176
6,10,6,30
7,7,8,1
7,8,7,15
7,9,6,11
0,11,12,1
0,12,11,1
1,10,12,11
1,11,11,56
1,12,10,22
2,9,12,11
2,10,11,231
2,11,10,385
2,12,9,77
3,8,12,1
3,9,11,176
3,10,10,1002
3,11,9,792
3,12,8,77
4,8,11,22
4,9,10,627
4,10,9,1574
4,11,8,627
4,12,7,22
5,8,10,77
5,9,9,792
5,10,8,1002
5,11,7,176
5,12,6,1
6,8,9,77
6,9,8,385
6,10,7,231
6,11,6,11
7,8,8,22
7,9,7,56
7,10,6,11
8,8,7,1
8,9,6,1
0,12,12,1
1,10,13,1
1,11,12,42
1,12,11,56
1,13,10,5
2,10,12,101
2,11,11,490
2,12,10,297
2,13,9,15
3,9,12,42
3,10,11,792
3,11,10,1574
3,12,9,490
3,13,8,11
4,8,12,1
4,9,11,297
4,10,10,1957
4,11,9,1957
4,12,8,297
4,13,7,1
5,8,11,15
5,9,10,627
5,10,9,1957
5,11,8,1002
5,12,7,56
6,8,10,30
6,9,9,490
6,10,8,792
6,11,7,176
6,12,6,1
7,8,9,15
7,9,8,135
7,10,7,101
7,11,6,5
8,8,8,1
8,9,7,7
8,10,6,1
0,12,13,1
0,13,12,1
1,11,13,15
1,12,12,77
1,13,11,30
2,10,13,22
2,11,12,385
2,12,11,626
2,13,10,135
2,14,9,1
3,9,13,3
3,10,12,385
3,11,11,1956
3,12,10,1574
3,13,9,176
4,9,12,77
4,10,11,1574
4,11,10,3713
4,12,9,1574
4,13,8,77
5,8,12,1
5,9,11,297
5,10,10,2434
5,11,9,3007
5,12,8,627
5,13,7,7
6,8,11,5
6,9,10,385
6,10,9,1574
6,11,8,1002
6,12,7,77
7,8,10,5
7,9,9,176
7,10,8,385
7,11,7,101
7,12,6,1
8,8,9,1
8,9,8,22
8,10,7,22
8,11,6,1
0,13,13,1
1,11,14,2
1,12,13,56
1,13,12,77
1,14,11,7
2,10,14,1
2,11,13,176
2,12,12,791
2,13,11,490
2,14,10,30
3,10,13,101
3,11,12,1574
3,12,11,3005
3,13,10,1002
3,14,9,30
4,9,13,7
4,10,12,792
4,11,11,4557
4,12,10,4557
4,13,9,792
4,14,8,7
5,9,12,77
5,10,11,1957
5,11,10,5593
5,12,9,3007
5,13,8,231
6,9,11,176
6,10,10,1957
6,11,9,3007
6,12,8,792
6,13,7,15
7,9,10,135
7,10,9,792
7,11,8,627
7,12,7,56
8,9,9,30
8,10,8,101
8,11,7,30
9,9,8,1
9,10,7,1
0,13,14,1
0,14,13,1
1,12,14,22
1,13,13,101
1,14,12,42
2,11,14,42
2,12,13,626
2,13,12,1001
2,14,11,231
2,15,10,2
3,10,14,11
3,11,13,792
3,12,12,3710
3,13,11,3005
3,14,10,385
3,15,9,1
4,10,13,231
4,11,12,3713
4,12,11,8322
4,13,10,3713
4,14,9,231
5,9,13,7
5,10,12,1002
5,11,11,6826
5,12,10,8326
5,13,9,1957
5,14,8,42
6,9,12,42
6,10,11,1574
6,11,10,5593
6,12,9,3712
6,13,8,385
6,14,7,1
7,9,11,56
7,10,10,1002
7,11,9,1957
7,12,8,627
7,13,7,15
8,9,10,22
8,10,9,231
8,11,8,231
8,12,7,22
9,9,9,1
9,10,8,11
9,11,7,3
0,14,14,1
1,12,15,3
1,13,14,77
1,14,13,101
1,15,12,11
2,11,15,3
2,12,14,297
2,13,13,1253
2,14,12,791
2,15,11,56
3,11,14,231
3,12,13,3005
3,13,12,5587
3,14,11,1956
3,15,10,77
4,10,14,30
4,11,13,1957
4,12,12,10107
4,13,11,10108
4,14,10,1957
4,15,9,30
5,10,13,297
5,11,12,5593
5,12,11,14821
5,13,10,8326
5,14,9,792
5,15,8,2
6,9,13,3
6,10,12,792
6,11,11,6826
6,12,10,10111
6,13,9,3007
6,14,8,101
7,9,12,11
7,10,11,792
7,11,10,3713
7,12,9,3007
7,13,8,385
7,14,7,1
8,9,11,7
8,10,10,297
8,11,9,792
8,12,8,297
8,13,7,7
9,9,10,1
9,10,9,30
9,11,8,42
9,12,7,3
0,14,15,1
0,15,14,1
1,13,15,30
1,14,14,135
1,15,13,56
1,16,12,1
2,12,15,77
2,13,14,1001
